Colony,Nest,Trial,Coord,X,Y
9,Circle,Pre,REF4,1301,737
9,Circle,Pre,REF5,1296,692
9,Circle,Pre,REF6,1285,646
9,Circle,Pre,REF7,1259,595
9,Tube,Aggn,REF1,934,1074
9,Tube,Aggn,REF2,818,742
9,Tube,Aggn,REF3,582,860
9,Tube,Aggn,REF4,464,576
9,Tube,Aggn,REF5,774,456
9,Tube,Aggn,REF6,1054,452
9,Tube,Aggn,REF7,1362,564
9,Tube,Aggn,REF8,1250,864
9,Tube,Aggn,REF9,958,750
9,Tube,Pre,REF1,932,1074
9,Tube,Pre,REF2,816,744
9,Tube,Pre,REF3,584,852
9,Tube,Pre,REF4,462,574
9,Tube,Pre,REF5,776,456
9,Tube,Pre,REF6,1054,458
9,Tube,Pre,REF7,1354,578
9,Tube,Pre,REF8,1248,866
9,Tube,Pre,REF9,960,754
11,Circle,Aggn,REF1,1128,856
11,Circle,Aggn,REF2,1168,782
11,Circle,Aggn,REF3,1188,714
11,Circle,Aggn,REF4,1190,650
11,Circle,Aggn,REF5,1184,588
11,Circle,Aggn,REF6,1168,526
11,Circle,Aggn,REF7,1130,450
11,Circle,Pre,REF1,1106.667,852
11,Circle,Pre,REF2,1160,781.333
11,Circle,Pre,REF3,1185.333,714.667
11,Circle,Pre,REF4,1186.667,648
11,Circle,Pre,REF5,1184,588
11,Circle,Pre,REF6,1169.333,522.667
11,Circle,Pre,REF7,1138.667,448
11,Tube,Aggn,REF1,1102,1058
11,Tube,Aggn,REF2,964,554
11,Tube,Aggn,REF3,586,730
11,Tube,Aggn,REF4,432,312
11,Tube,Aggn,REF5,876,148
11,Tube,Aggn,REF6,1284,138
11,Tube,Aggn,REF7,1718,320
11,Tube,Aggn,REF8,1574,730
11,Tube,Aggn,REF9,1154,570
11,Tube,Pre,REF1,990,1064
11,Tube,Pre,REF2,820,562
11,Tube,Pre,REF3,472,724
11,Tube,Pre,REF4,312,304
11,Tube,Pre,REF5,754,144
11,Tube,Pre,REF6,1166,146
11,Tube,Pre,REF7,1612,324
11,Tube,Pre,REF8,1454,744
11,Tube,Pre,REF9,1028,558
13,Circle,Aggn,REF1,1061,753
13,Circle,Aggn,REF2,1085,718
13,Circle,Aggn,REF3,1100,686
13,Circle,Aggn,REF4,1099,652
